country,num_people
US,85606
CA,13034
DE,10835
,7641
GB,6964
TR,4412
AU,3911
SE,3533
NL,3213
DK,2909
GR,2885
PL,2776
PT,2757
RO,2464
IT,2333
FR,2316
TW,2257
BR,2252
MX,2244
NO,2047
BE,1712
ES,1574
FI,1416
CZ,1143
NZ,1104
RU,1058
HU,1037
AT,952
LT,903
BG,894
HK,892
HR,869
CL,835
RS,748
IL,593
CH,577
JP,562
SG,558
AR,541
MA,462
IE,461
CO,446
SK,437
SI,436
SA,422
AE,371
BA,330
PH,315
KW,314
PR,292
EE,250
LV,231
MY,229
CR,222
UA,220
TN,193
KR,192
VE,192
CY,161
EG,160
VN,159
AL,153
PE,150
MK,139
TT,124
ZA,119
DO,92
BB,87
MT,85
JM,84
IN,79
QA,72
JO,71
IS,68
UY,64
GE,59
PA,59
CN,58
NI,58
LU,55
MO,47
BS,46
LB,45
BH,41
IQ,41
ME,41
GT,38
TH,37
PK,36
DZ,33
BY,31
ID,28
CW,27
KZ,26
EC,26
MD,25
HN,24
SV,24
AW,20
OM,20
RE,17
PY,17
FO,16
IR,16
GU,15
BD,14
JE,14
BZ,13
MN,12
AM,12
KE,12
BO,11
PS,10
LI,10
MU,10
BN,8
EU,8
NG,8
PF,8
GP,7
IM,7
FJ,6
VI,6
BQ,5
LC,5
AX,5
GF,5
KY,5
LK,5
GI,4
SD,4
GG,4
KH,4
AI,4
LY,4
DM,4
AG,3
VC,3
KG,3
SR,3
MC,2
BM,2
KN,2
TC,2
GL,2
VG,2
SN,1
MQ,1
GY,1
SC,1
AZ,1
GA,1
AD,1
SM,1
A1,1
NC,1
